"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Place of Death"	"Place of Death Code"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Mental and behavioural disorders"	"F01-F99"	"Organic, including symptomatic, mental disorders"	"F01-F09"	21	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Mental and behavioural disorders"	"F01-F99"	"Mood [affective] disorders"	"F30-F39"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	4	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Extrapyramidal and movement disorders"	"G20-G25"	4	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Other degenerative diseases of the nervous system"	"G30-G31"	22	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Demyelinating diseases of the central nervous system"	"G35-G37"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Diseases of myoneural junction and muscle"	"G70-G72"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	3	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	118	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	682	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	11	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	161	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	37	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	16	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	12	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	78	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	8	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	8	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	10	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	3	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	4	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Diseases of liver"	"K70-K76"	5	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of the digestive system"	"K90-K92"	4	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Arthropathies"	"M00-M25"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	4	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Osteopathies and chondropathies"	"M80-M94"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the genitourinary system"	"N00-N98"	"Renal tubulo-interstitial diseases"	"N10-N15"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	19	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the genitourinary system"	"N00-N98"	"Urolithiasis"	"N20-N23"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Diseases of the genitourinary system"	"N00-N98"	"Other diseases of urinary system"	"N30-N39"	3	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Symptoms and signs involving the circulatory and respiratory systems"	"R00-R09"	6	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"General symptoms and signs"	"R50-R68"	8	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Ill-defined and unknown causes of mortality"	"R95-R99"	9	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Transport accidents"	"V01-V99"	49	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Other external causes of accidental injury"	"W00-X59"	40	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Intentional self-harm"	"X60-X84"	30	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Assault"	"X85-Y09"	3	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Medical Facility - Dead on Arrival"	"3"	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	135	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	15	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	348	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	3	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	37	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	3	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	12	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	131	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	41	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	13	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	15	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Protozoal diseases"	"B50-B64"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Helminthiases"	"B65-B83"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	71	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other infectious diseases"	"B99-B99"	3	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Malignant neoplasms"	"C00-C97"	67540	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"In situ neoplasms"	"D00-D09"	8	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Benign neoplasms"	"D10-D36"	110	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Neoplasms"	"C00-D48"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	1666	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Nutritional anaemias"	"D50-D53"	21	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Haemolytic anaemias"	"D55-D59"	22	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Aplastic and other anaemias"	"D60-D64"	168	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	46	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Other diseases of blood and blood-forming organs"	"D70-D76"	21	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Certain disorders involving the immune mechanism"	"D80-D89"	66	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of thyroid gland"	"E00-E07"	98	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	6855	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	6	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	45	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	252	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	7	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Obesity and other hyperalimentation"	"E65-E68"	165	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Metabolic disorders"	"E70-E88"	1696	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Organic, including symptomatic, mental disorders"	"F01-F09"	4812	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	217	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	8	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mood [affective] disorders"	"F30-F39"	35	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	9	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	21	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Mental retardation"	"F70-F79"	7	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Disorders of psychological development"	"F80-F89"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Mental and behavioural disorders"	"F01-F99"	"Unspecified mental disorder"	"F99-F99"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Inflammatory diseases of the central nervous system"	"G00-G09"	18	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	971	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Extrapyramidal and movement disorders"	"G20-G25"	3726	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Other degenerative diseases of the nervous system"	"G30-G31"	9854	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Demyelinating diseases of the central nervous system"	"G35-G37"	219	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Episodic and paroxysmal disorders"	"G40-G47"	88	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Nerve, nerve root and plexus disorders"	"G50-G58"	4	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	60	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Diseases of myoneural junction and muscle"	"G70-G72"	126	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	70	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the nervous system"	"G00-G98"	"Other disorders of the nervous system"	"G90-G98"	223	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the eye and adnexa"	"H00-H57"	"Disorders of eyelid, lacrimal system and orbit"	"H00-H05"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the eye and adnexa"	"H00-H57"	"Disorders of choroid and retina"	"H30-H35"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the eye and adnexa"	"H00-H57"	"Glaucoma"	"H40-H40"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the ear and mastoid process"	"H60-H93"	"Diseases of middle ear and mastoid"	"H65-H74"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Acute rheumatic fever"	"I00-I02"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Chronic rheumatic heart diseases"	"I05-I09"	212	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Hypertensive diseases"	"I10-I15"	6053	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Ischaemic heart diseases"	"I20-I25"	28702	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	740	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Other forms of heart disease"	"I30-I51"	12992	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Cerebrovascular diseases"	"I60-I69"	6601	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	1213	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	103	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the circulatory system"	"I00-I99"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	47	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Acute upper respiratory infections"	"J00-J06"	8	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Influenza and pneumonia"	"J09-J18"	594	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other acute lower respiratory infections"	"J20-J22"	8	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of upper respiratory tract"	"J30-J39"	17	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Chronic lower respiratory diseases"	"J40-J47"	16329	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Lung diseases due to external agents"	"J60-J70"	415	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	2108	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	17	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of pleura"	"J90-J94"	40	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the respiratory system"	"J00-J98"	"Other diseases of the respiratory system"	"J96-J98"	684	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	200	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of appendix"	"K35-K38"	11	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	33	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	61	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	350	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	23	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Diseases of liver"	"K70-K76"	1842	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	161	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of the digestive system"	"K90-K92"	275	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	34	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Bullous disorders"	"L10-L13"	4	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Papulosquamous disorders"	"L40-L44"	2	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Disorders of skin appendages"	"L60-L75"	1	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	57	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Arthropathies"	"M00-M25"	264	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Systemic connective tissue disorders"	"M30-M35"	235	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Dorsopathies"	"M40-M54"	72	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Soft tissue disorders"	"M60-M79"	44	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	"Osteopathies and chondropathies"	"M80-M94"	113	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the genitourinary system"	"N00-N98"	"Glomerular diseases"	"N00-N07"	34	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the genitourinary system"	"N00-N98"	"Renal tubulo-interstitial diseases"	"N10-N15"	30	Not Applicable	Not Applicable
	"75-84 years"	"75-84"	"Decedent's home"	"4"	"Diseases of the genitourinary system"	"N00-N98"	"Renal failure"	"N17-N19"	2765	Not Applicable	Not Applicable
